Time Step,Persistent RMSE,Prediction RMSE
1,0.27621349692344666,0.24251911044120789
2,0.2914021909236908,0.252885103225708
3,0.2903597056865692,0.24867995083332062
4,0.2864977717399597,0.25482308864593506
5,0.2875576317310333,0.24907706677913666
6,0.28292909264564514,0.2516103684902191
7,0.2864673137664795,0.25692370533943176
8,0.2876242995262146,0.2510756552219391
9,0.2794525623321533,0.25212225317955017
10,0.2823447287082672,0.24345646798610687
11,0.2775075137615204,0.2497987598180771
12,0.28086715936660767,0.25089406967163086
13,0.28779664635658264,0.2629440128803253
14,0.29018038511276245,0.25330865383148193
15,0.2832813858985901,0.25027066469192505
16,0.2903074622154236,0.26156553626060486
17,0.28578102588653564,0.2460024654865265
18,0.2796159088611603,0.2528974413871765
19,0.27823299169540405,0.25395312905311584
20,0.282230406999588,0.26009106636047363
